"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"56586099999","2019-01-02T21:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0010,1","99999,9,9,9","000200,1,9,9","-0022,1","-0022,1","99999,9","06,9999,9,9","24,9999,9,9",,,,,,,,,"99999,9,08064,1","7,1,016,1,-050,1","45,1",,"SYN004BUFR",
"56586099999","2019-01-03T00:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0010,1","99999,9,9,N","000100,1,9,9","-0023,1","-0023,1","99999,9",,,,,"08,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,"99999,9,08064,1","4,1,000,1,+999,9","46,1",,"SYN07056586 31401 83601 11023 21023 38064 54000 746// 88/// 333 05501 31008=",
"56586099999","2019-01-03T03:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","220,1,N,0020,1","99999,9,9,N","004700,1,9,9","+0082,1","+0016,1","99999,9",,,"4,1,02,1","0,1,02,1",,,,,,,"99999,9,08067,1","2,1,003,1,+999,9","28,1",,"SYN04856586 31647 02202 10082 20016 38067 52003 72840=",
"56586099999","2019-01-03T06:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","200,1,N,0050,1","99999,9,9,N","030000,1,9,9","+0147,1","-0010,1","99999,9",,,"4,1,02,1","0,1,02,1",,,,,,"240,N,-0026,1","99999,9,08026,1","7,1,041,1,+999,9","00,1",,"SYN06456586 31680 02005 10147 21010 38026 57041 70040 333 05511 21026=",
"56586099999","2019-01-03T09:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","200,1,N,0030,1","99999,9,9,N","030000,1,9,9","+0151,1","-0023,1","99999,9",,,,,,,,,,,"99999,9,08024,1","7,1,002,1,+999,9",,,"SYN05256586 32680 02003 10151 21023 38024 57002 333 05407=",
"56586099999","2019-01-03T12:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","200,1,N,0030,1","99999,9,9,N","030000,1,9,9","+0123,1","-0012,1","99999,9",,,,,,,,,,,"99999,9,08039,1","2,1,015,1,+999,9",,,"SYN05256586 32680 02003 10123 21012 38039 52015 333 05410=",
"56586099999","2019-01-03T18:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0010,1","00240,1,W,N","030000,1,9,9","-0012,1","-0028,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0157,1","99999,9,08068,1","2,1,012,1,+999,9",,,"SYN05856586 32/80 93601 11012 21028 38068 52012 333 05101 10157=",
"56586099999","2019-01-03T21:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","360,1,N,0010,1","00240,1,W,N","030000,1,9,9","-0025,1","-0032,1","99999,9",,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,"99999,9,08075,1","2,1,007,1,+999,9",,,"SYN05256586 32/80 93601 11025 21032 38075 52007 333 00100=",
"56586099999","2019-01-04T00:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","028000,1,9,9","-0036,1","-0039,1","99999,9",,,,,"06,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","06,99,1,06,1,99,9,00450,1,99,9,99,9",,"99999,9,08085,1","2,1,010,1,+999,9",,,"SYN06456586 32478 62501 11036 21039 38085 52010 86/// 333 00251 31020=",
"56586099999","2019-01-04T03:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","270,1,N,0020,1","99999,9,9,N","011000,1,9,9","+0007,1","-0023,1","99999,9",,,,,"07,1,+00450,1,99,9",,,"9,MSL   ,+99999,+99999","07,99,1,07,1,99,9,00450,1,99,9,99,9",,"99999,9,08101,1","2,1,016,1,+999,9",,,"SYN04856586 32461 72702 10007 21023 38101 52016 87///=",
"56586099999","2019-01-04T06:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","250,1,N,0010,1","99999,9,9,N","015000,1,9,9","+0082,1","-0003,1","99999,9",,,,,,,,,,"240,N,-0037,1","99999,9,08058,1","7,1,043,1,+999,9",,,"SYN05856586 32565 02501 10082 21003 38058 57043 333 00357 21037=",
"56586099999","2019-01-04T09:00:00","4","27.3333333","103.75","1950.0","ZHAOTONG, CH","FM-12","99999","V020","200,1,N,0060,1","99999,9,9,N","019000,1,9,9","+0151,1","-0064,1","99999,9",,,,,,,,,,,"99999,9,08041,1","7,1,017,1,+999,9",,,"SYN05256586 32969 02006 10151 21064 38041 57017 333 00200=",
